id;first_name;last_name;email;phone;whatsapp;notification_preference;note;gender;birth_date;language;status;reminder_count;tags;created;created_by;updated;updated_by
1;Zoey;Kohler;Theron_Graham7@gmail.com;498.336.7166 x820;abnormally;SMS;painfully;FEMALE;2025-06-15;EN;ACTIVE;45;easily angrily boohoo;2025-06-15T05:35:08;tabletop;2025-06-15T04:03:52;neatly duh
2;Eleazar;Waelchi;Kale41@hotmail.com;(899) 206-7317 x2347;intermix;WHATSAPP;fun pluck speedily;MALE;2025-06-15;FR;ACTIVE;1680;unto ick unique;2025-06-14T17:04:50;metal huzzah oh;2025-06-14T13:45:44;ack
3;Jettie;Lockman;Warren.Price@hotmail.com;(998) 447-5926 x394;incidentally;WHATSAPP;joyfully lest;FEMALE;2025-06-15;EN;ARCHIVED;26591;towards;2025-06-15T06:08:01;velocity righteously ack;2025-06-15T09:57:41;ski
4;Kamren;Effertz;Jayce_Steuber@gmail.com;850-291-8088 x00392;consequently besides brightly;EMAIL;so because intensely;FEMALE;2025-06-15;FR;ACTIVE;24908;curry;2025-06-15T06:32:38;why forsaken smart;2025-06-14T14:08:16;extremely efface coagulate
5;Linda;Bergnaum;Hans.Prohaska@yahoo.com;494.765.3722 x6931;awesome whether yuck;SMS;plus quickly;MALE;2025-06-14;EN;ACTIVE;2025;political hypothesise settle;2025-06-15T00:36:50;zowie plagiarise confirm;2025-06-14T13:48:14;yuck confiscate indeed
6;Mable;Rippin;Margie98@yahoo.com;654-600-7934 x60260;squiggly sans facilitate;EMAIL;providence failing uh-huh;MALE;2025-06-14;AR;ARCHIVED;3434;potentially;2025-06-15T11:07:36;unbearably;2025-06-14T18:17:11;gosh rigid given
7;Lester;Conn;Emmy67@hotmail.com;707-884-4553 x9947;knowingly when likewise;EMAIL;oh;FEMALE;2025-06-15;FR;ARCHIVED;20253;gladly nor;2025-06-15T03:19:13;hastily furthermore;2025-06-14T17:41:07;unused snarling
8;Kayley;Breitenberg;Kimberly_Kuhic13@hotmail.com;1-960-892-1793 x5637;supposing;EMAIL;stigmatize but;MALE;2025-06-14;FR;ARCHIVED;16877;coolly;2025-06-15T11:25:46;symbolise breed;2025-06-15T05:40:23;ha
9;Muriel;Wolff;Diego_Bogan57@yahoo.com;1-806-848-8300;reword;WHATSAPP;outfit because glaring;MALE;2025-06-14;FR;ACTIVE;6036;excepting than;2025-06-14T19:11:21;beside;2025-06-15T08:21:50;considering institute vibraphone
10;John;Gleason;Hubert.Franey@yahoo.com;(382) 785-3476 x926;graft into finer;EMAIL;eek minus dirty;MALE;2025-06-15;FR;ACTIVE;25592;rue;2025-06-14T16:49:57;yippee;2025-06-15T01:02:19;dulcimer times huzzah
